id	position	name	GSM2522670
B01R15C13	1-13-15	Hs~IVGN:PM_2149~Ext:thyroglobulin~N/A	122
B01R15C14	1-14-15	Hs~IVGN:PM_2149~Ext:thyroglobulin~N/A	11
B01R15C15	1-15-15	Hs~Ref:NM_002739.1~CAT:P2228	187
B01R15C16	1-16-15	Hs~Ref:NM_002739.1~CAT:P2228	307
B01R15C17	1-17-15	Hs~Ref:NM_003137.2~CAT:PV4215	58
B01R15C18	1-18-15	Hs~Ref:NM_003137.2~CAT:PV4215	47
B01R15C19	1-19-15	Hs~Ref:NM_031988.1~CAT:PV3293	74
B01R15C20	1-20-15	Hs~Ref:NM_031988.1~CAT:PV3293	153
B01R15C21	1-21-15	Hs~Ref:NM_002737.1~CAT:P2227	5
B01R15C22	1-22-15	Hs~Ref:NM_002737.1~CAT:P2227	1
B01R16C01	1-1-16	Hs~Ref:NM_002648.1~CAT:PV3503	112
B01R16C02	1-2-16	Hs~Ref:NM_002648.1~CAT:PV3503	126
B01R16C03	1-3-16	Hs~Ref:NM_015375.1~CAT:PV4678	89
B01R16C04	1-4-16	Hs~Ref:NM_015375.1~CAT:PV4678	53
B01R16C05	1-5-16	Hs~Ref:NM_014826.1~CAT:PV4398	30
B01R16C06	1-6-16	Hs~Ref:NM_014826.1~CAT:PV4398	28
B01R16C07	1-7-16	Hs~Ref:NM_017692.1~uORF:IOH4894	102
B01R16C08	1-8-16	Hs~Ref:NM_017692.1~uORF:IOH4894	177
B01R16C09	1-9-16	Hs~MGC:NM_173547.2~uORF:IOH11612	24
B01R16C10	1-10-16	Hs~MGC:NM_173547.2~uORF:IOH11612	43
B01R16C11	1-11-16	Hs~Ref:NM_002475.2~uORF:IOH14814	293
B01R16C12	1-12-16	Hs~Ref:NM_002475.2~uORF:IOH14814	289
B01R16C13	1-13-16	Hs~Ref:NM_006466.1~uORF:IOH14273	228
B01R16C14	1-14-16	Hs~Ref:NM_006466.1~uORF:IOH14273	43
