id	position	name	F635 Median	B635 Median	Intensity
B01R15C03	1-3-15	Hs~Ref:NM_018376.2~uORF:IOH7251	314	35	279
B01R15C04	1-4-15	Hs~Ref:NM_018376.2~uORF:IOH7251	342	35	307
B01R15C05	1-5-15	Hs~Ref:NM_153378.1~uORF:IOH45483	529	37	492
B01R15C06	1-6-15	Hs~Ref:NM_153378.1~uORF:IOH45483	548	36	512
B01R15C07	1-7-15	Hs~Ref:NM_004058.2~uORF:IOH45954	289	37	252
B01R15C08	1-8-15	Hs~Ref:NM_004058.2~uORF:IOH45954	329	38	291
B01R15C09	1-9-15	Hs~Ref:NM_181462.1~uORF:IOH45485	1387	40	1347
B01R15C10	1-10-15	Hs~Ref:NM_181462.1~uORF:IOH45485	1353	37	1316
B01R15C11	1-11-15	Hs~Ref:NM_017828.2~uORF:IOH45931	446	35	411
B01R15C12	1-12-15	Hs~Ref:NM_017828.2~uORF:IOH45931	478	35	443
B01R15C13	1-13-15	Hs~IVGN:PM_2149~Ext:thyroglobulin~N/A	164	42	122
B01R15C14	1-14-15	Hs~IVGN:PM_2149~Ext:thyroglobulin~N/A	56	45	11
B01R15C15	1-15-15	Hs~Ref:NM_002739.1~CAT:P2228	248	61	187
B01R15C16	1-16-15	Hs~Ref:NM_002739.1~CAT:P2228	374	67	307
B01R15C17	1-17-15	Hs~Ref:NM_003137.2~CAT:PV4215	108	50	58
B01R15C18	1-18-15	Hs~Ref:NM_003137.2~CAT:PV4215	114	67	47
B01R15C19	1-19-15	Hs~Ref:NM_031988.1~CAT:PV3293	132	58	74
B01R15C20	1-20-15	Hs~Ref:NM_031988.1~CAT:PV3293	276	123	153
B01R15C21	1-21-15	Hs~Ref:NM_002737.1~CAT:P2227	61	56	5
